week_date,week_count,sui1,sui2,sui3,neg,pos,pre
2013-07-21,14,47,0,29,1.457,1.435,14
2013-07-28,10,39,0,91,1.113,1.347,10
2013-08-04,18,30,0,28,1.434,1.382,18
2013-08-11,9,50,0,25,0.64,0.589,9
2013-08-18,13,30,0,29,0.51,0.551,13
2013-08-25,16,67,85,29,1.276,1.271,16
2013-09-01,11,26,100,47,0.838,1.115,11
2013-09-08,19,26,80,79,0.809,1.002,19
2013-09-15,10,52,0,0,0.729,1.232,10
2013-09-22,11,36,100,0,1.473,1.195,11
2013-09-29,14,48,0,91,0.968,1.205,14
2013-10-06,12,24,100,32,1.084,1.189,12
2013-10-13,15,0,0,32,0.626,1.177,15
2013-10-20,17,35,0,100,0.855,1.41,17
2013-10-27,14,28,0,61,1.003,0.873,14
2013-11-03,14,36,0,28,1.045,0.714,14
2013-11-10,16,0,0,85,1.342,0.852,16
2013-11-17,9,47,0,79,0.725,1.069,9
2013-11-24,8,28,78,41,0.501,1.407,8
2013-12-01,14,100,100,42,0.808,0.712,14
2013-12-08,16,0,0,36,0.95,0.86,16
2013-12-15,10,25,0,29,1.323,1.285,10
2013-12-22,17,39,100,25,1.346,1.34,17
2013-12-29,9,100,0,36,0.849,0.546,9
2014-01-05,7,39,0,0,0.8,0.606,7
2014-01-12,6,27,100,0,0.848,1.039,6
2014-01-19,12,100,0,41,0.973,0.763,12
2014-01-26,9,50,0,41,1.157,1.359,9
2014-02-02,17,0,0,41,1.349,0.909,17
2014-02-09,13,25,85,0,1.44,1.201,13
2014-02-16,14,25,0,91,1.165,1.131,14
2014-02-23,16,26,86,56,0.842,0.607,16
2014-03-02,8,0,0,61,0.723,1.111,8
2014-03-09,11,0,100,79,1.3,0.533,11
2014-03-16,11,34,0,36,0.849,0.516,11
2014-03-23,13,25,0,0,0.947,0.563,13
2014-03-30,5,0,100,28,1.459,1.27,5
2014-04-06,15,46,0,28,0.86,0.856,15
2014-04-13,8,26,80,25,0.55,0.612,8
2014-04-20,15,52,0,79,1.408,0.998,15
2014-04-27,9,25,0,32,1.216,1.341,9
2014-05-04,14,0,74,32,0.708,1.476,14
2014-05-11,13,0,0,27,0.935,1.411,13
2014-05-18,9,0,0,28,1.296,0.899,9
